understat_id,date,league,home,away,minute,score_home,score_away,current_total_goals,goal_before_ft,p_goal_before_ft
29122,2026-05-04,EPL,Chelsea,Nottingham Forest,40,0,2,2,1,0.8491929261320044
29123,2026-05-04,EPL,Everton,Manchester City,40,0,0,0,1,0.9267588972941796
29490,2026-05-04,La_liga,Sevilla,Real Sociedad,41,0,0,0,1,0.8045649024687789
30513,2026-05-08,Bundesliga,Borussia Dortmund,Eintracht Frankfurt,40,0,1,1,1,0.9079188275298894
29829,2026-05-08,Ligue_1,Lens,Nantes,40,0,0,0,1,0.8536535931048292
30512,2026-05-09,Bundesliga,Augsburg,Borussia M.Gladbach,40,1,0,1,1,0.8778649204106819
30516,2026-05-09,Bundesliga,Hoffenheim,Werder Bremen,40,1,0,1,0,0.9340844815118398
30518,2026-05-09,Bundesliga,RasenBallsport Leipzig,St. Pauli,40,0,0,0,1,0.9642636672427588
30519,2026-05-09,Bundesliga,VfB Stuttgart,Bayer Leverkusen,40,1,1,2,1,0.9060573253562458
29131,2026-05-09,EPL,Fulham,Bournemouth,40,0,0,0,1,0.825709710006801
29132,2026-05-09,EPL,Liverpool,Chelsea,40,1,1,2,0,0.8715518235214847
29133,2026-05-09,EPL,Manchester City,Brentford,40,0,0,0,1,0.9280177614320164
29503,2026-05-09,La_liga,Elche,Alaves,40,0,0,0,1,0.8719145250989071
29504,2026-05-09,La_liga,Real Sociedad,Real Betis,40,0,1,1,1,0.8139924980403175
29505,2026-05-09,La_liga,Sevilla,Espanyol,40,0,0,0,1,0.8626372541636942
30514,2026-05-10,Bundesliga,FC Cologne,FC Heidenheim,40,1,2,3,1,0.883907407620359
30515,2026-05-10,Bundesliga,Hamburger SV,Freiburg,40,1,1,2,1,0.8561005974321777
30517,2026-05-10,Bundesliga,Mainz 05,Union Berlin,40,0,1,1,1,0.9091278304651488
29129,2026-05-10,EPL,Burnley,Aston Villa,40,1,0,1,1,0.8832809984394647
29130,2026-05-10,EPL,Crystal Palace,Everton,40,1,1,2,1,0.8652928532489512
29498,2026-05-10,La_liga,Athletic Club,Valencia,40,0,0,0,1,0.884506037355935
29500,2026-05-10,La_liga,Barcelona,Real Madrid,40,2,0,2,0,0.9001881730451565
29502,2026-05-10,La_liga,Mallorca,Villarreal,40,0,1,1,1,0.9125557459070646
29826,2026-05-10,Ligue_1,Angers,Strasbourg,40,0,0,0,1,0.9474666283067854
29827,2026-05-10,Ligue_1,Auxerre,Nice,40,1,1,2,1,0.8463176876557547
29828,2026-05-10,Ligue_1,Le Havre,Marseille,40,0,0,0,1,0.8881217023231779
29830,2026-05-10,Ligue_1,Metz,Lorient,40,0,1,1,1,0.9026427287863724
29831,2026-05-10,Ligue_1,Monaco,Lille,40,0,0,0,1,0.8519284080078495
29833,2026-05-10,Ligue_1,Rennes,Paris FC,40,0,0,0,1,0.939180764550186
29834,2026-05-10,Ligue_1,Toulouse,Lyon,40,1,0,1,1,0.8940163362740636
29507,2026-05-11,La_liga,Rayo Vallecano,Girona,40,0,0,0,1,0.8229706471030688
29510,2026-05-12,La_liga,Celta Vigo,Levante,40,1,0,1,1,0.8930133226885995
29514,2026-05-12,La_liga,Osasuna,Atletico Madrid,40,0,1,1,1,0.8743169590012824
29509,2026-05-12,La_liga,Real Betis,Elche,40,1,1,2,1,0.8630539513977767
29084,2026-05-13,EPL,Manchester City,Crystal Palace,40,2,0,2,1,0.9386601624730182
29508,2026-05-13,La_liga,Alaves,Barcelona,40,0,0,0,1,0.8932536810767442
29511,2026-05-13,La_liga,Getafe,Mallorca,40,2,0,2,1,0.860855698168594
29512,2026-05-14,La_liga,Girona,Real Sociedad,40,0,1,1,1,0.8837428190051009
29517,2026-05-14,La_liga,Real Madrid,Real Oviedo,40,0,0,0,1,0.9592739620490902
29140,2026-05-15,EPL,Aston Villa,Liverpool,40,0,0,0,1,0.901401161416314
30521,2026-05-16,Bundesliga,Bayer Leverkusen,Hamburger SV,40,0,0,0,1,0.9649357521794056
29141,2026-05-17,EPL,Brentford,Crystal Palace,40,1,1,2,1,0.8626904516263367
